"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | All Makes | Chevrolet | Ford | Honda | Jaguar | Mercedes-Benz | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3949452"
"ColumnCount:",8
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #"
"07/2008",4422,621,640,332,5,20,229
"08/2008",4663,624,727,343,4,20,279
"09/2008",4185,564,605,280,3,18,256
"10/2008",4512,641,694,295,6,21,287
"11/2008",4151,680,715,237,10,16,263
"12/2008",4211,701,736,240,6,21,267
"01/2009",3565,577,639,204,3,12,270
"02/2009",3171,496,546,201,,20,197
"03/2009",3459,569,554,213,6,17,244
"04/2009",3930,577,607,229,3,22,278
"05/2009",4100,607,651,326,8,19,238
"06/2009",4013,590,627,302,4,22,265
"07/2009",4083,589,655,294,2,13,263
"08/2009",4196,612,630,313,2,18,242
"09/2009",3869,556,610,256,3,22,245
"10/2009",3857,618,665,255,2,25,252
"11/2009",3720,562,625,243,4,27,272
"12/2009",3577,562,622,185,5,20,263
"01/2010",3107,451,544,177,4,18,218
"02/2010",2801,454,450,188,3,14,203
"03/2010",3336,491,532,223,4,14,210
"04/2010",3804,518,601,273,5,26,274
"05/2010",3956,572,559,298,2,12,265
"06/2010",3821,574,613,285,1,14,237
"07/2010",4200,610,616,317,4,20,264
"08/2010",4183,593,621,270,3,17,271
"09/2010",4094,556,673,263,4,31,257
"10/2010",4136,626,624,288,3,21,260
"11/2010",3854,566,652,233,6,21,274
"12/2010",3570,567,617,218,3,21,253
"01/2011",3076,474,517,213,4,24,222
"02/2011",2868,441,467,175,2,20,215
"03/2011",3311,507,527,197,3,20,253
"04/2011",3508,523,547,243,2,22,228
"05/2011",3744,531,567,254,2,11,237
"06/2011",3937,554,569,300,10,24,236
"07/2011",4232,571,636,358,5,24,272
"08/2011",4109,604,580,306,1,28,262
"09/2011",3824,505,607,262,5,13,244
"10/2011",4194,587,632,278,6,27,280
"11/2011",3692,535,568,218,8,24,305
"12/2011",3624,545,589,222,3,19,286
"01/2012",3330,526,555,188,2,18,255
"02/2012",3189,480,529,206,2,22,230
"03/2012",3678,530,516,265,2,15,247
"04/2012",3548,498,524,268,2,23,214
"05/2012",3966,579,607,309,2,23,242
"06/2012",4131,576,570,316,2,29,258
"07/2012",4164,594,656,307,4,30,265
"08/2012",4258,575,617,309,6,22,296
"09/2012",4074,572,586,259,2,25,285
"10/2012",3997,590,598,260,7,27,291
"11/2012",3853,588,608,230,,23,275
"12/2012",3772,606,606,243,6,23,302
"01/2013",3416,522,523,217,4,20,267
"02/2013",2845,428,453,183,2,17,221
"03/2013",3552,487,545,223,3,20,279
"04/2013",3464,453,528,258,4,24,273
"05/2013",3817,528,547,298,2,24,274
"06/2013",4009,519,596,297,4,17,285
"07/2013",3933,573,524,291,,15,241
"08/2013",4304,558,583,347,3,18,305
"09/2013",4106,533,588,316,2,29,286
"10/2013",4135,617,609,269,6,38,285
"11/2013",3803,571,590,253,5,41,260
"12/2013",3717,593,550,197,2,29,330
"01/2014",3260,459,528,183,1,24,269
"02/2014",2802,432,451,184,3,16,236
"03/2014",3374,463,508,241,7,24,264
"04/2014",3478,478,513,265,2,18,247
"05/2014",3891,533,494,263,6,30,261
"06/2014",3887,532,541,300,4,25,276
"07/2014",4011,560,550,309,4,25,282
"08/2014",4175,599,596,323,7,23,262
"09/2014",3897,537,523,294,6,29,301
"10/2014",4242,551,637,290,6,20,344
"11/2014",4044,583,620,282,,23,292
"12/2014",3889,575,624,275,4,29,338
"01/2015",3584,559,560,243,1,27,291
